site,site_name,plot,year,survey_round,survey_date,treat_cont,start,point,minute,species,distance,how,sex,visual,migrating,cluster_size,cluster_code
4b,wt_cont,4b5,2014,1,6/19/2014,c,,5,5,yrwa,10,v,m,y,,,
4b,wt_cont,4b5,2014,1,6/19/2014,c,,5,5,moch,19,v,u,y,,,
4b,wt_cont,4b5,2014,1,6/19/2014,c,,5,5,pisi,38,c,,,,,
4b,wt_cont,4b5,2014,1,6/19/2014,c,,5,6,nobi,NA,NA,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,0723,6,1,yrwa,40,s,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,1,yrwa,36,s,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,1,yrwa,25,s,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,1,yrwa,23,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,1,heth,97,s,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,2,osfl,52,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,2,resq,41,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,2,pisi,57,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,2,rbnu,39,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,3,weta,46,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,3,heth,50,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,3,pisi,48,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,3,brcr,29,s,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,4,nobi,NA,NA,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,5,heth,6,s,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,6,unwo,82,d,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,6,rbnu,28,c,,,,,
4b,wt_cont,4b6,2014,1,6/19/2014,c,,6,6,resq,31,c,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,0753,7,1,rcki,48,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,1,clnu,42,c,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,1,brcr,21,c,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,1,heth,42,c,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,1,heth,61,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,1,deju,58,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,1,rcki,51,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,2,heth,74,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,2,resq,43,c,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,3,yrwa,39,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,3,gcki,31,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,4,yrwa,53,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,4,pisi,60,c,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,5,nobi,NA,NA,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,6,yrwa,56,s,,,,,
4b,wt_cont,4b7,2014,1,6/19/2014,c,,7,6,pisi,51,c,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,0811,8,1,pisi,60,c,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,1,deju,54,s,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,1,moch,17,c,u,y,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,1,evgr,62,c,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,1,rcki,55,s,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,2,yrwa,42,s,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,2,resq,23,c,,y,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,3,moch,26,c,,y,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,3,rcki,49,s,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,4,moch,31,c,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,5,clnu,48,c,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,5,rbnu,46,c,,,,,
4b,wt_cont,4b8,2014,1,6/19/2014,c,,8,6,lisp,42,s,,,,,
4b,wt_cont,4b,2014,1,6/19/2014,c,,,88,btlh,NA,o,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,0829,9,1,moch,31,c,,y,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,1,rcki,24,cs,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,1,graj,45,c,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,1,rcki,57,s,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,1,resq,41,c,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,1,unwo,34,d,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,2,moch,36,c,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,3,moch,28,v,,y,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,3,moch,24,v,,y,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,4,heth,120,s,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,4,deju,53,s,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,5,resq,44,c,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,5,yrwa,46,s,,,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,5,moch,14,v,,y,,,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,6,graj,11,c,,y,,2,
4b,wt_cont,4b9,2014,1,6/19/2014,c,,9,6,graj,18,c,,y,,3,
4b,wt_cont,4b1,2014,2,6/28/2014,c,0538,1,1,rcki,23,s,,n,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,deju,35,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,rcki,37,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,chsp,49,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,yrwa,16,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,yrwa,23,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,weta,38,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,1,weta,46,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,2,resq,12,c,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,2,yrwa,34,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,2,lisp,26,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,2,brcr,4,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,3,deju,17,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,3,resq,18,c,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,4,wcsp,36,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,4,wcsp,28,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,4,deju,19,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,4,pisi,15,fc,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,5,cora,72,c,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,5,moch,36,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,5,brcr,13,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,5,wcsp,36,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,6,yrwa,13,s,,,,,
4b,wt_cont,4b1,2014,2,6/28/2014,c,,1,6,graj,21,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,0557,2,1,pisi,16,cf,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,1,pisi,34,cf,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,1,moch,24,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,1,deju,26,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,1,deju,31,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,1,rcki,32,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,1,heth,43,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,2,moch,27,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,2,yrwa,13,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,3,pisi,23,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,3,weta,34,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,3,heth,28,c,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,3,pisi,16,c,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,4,moch,21,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,4,rbnu,46,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,4,moch,31,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,5,nobi,NA,NA,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,6,deju,23,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,6,deju,41,s,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,6,resq,42,c,,,,,
4b,wt_cont,4b2,2014,2,6/28/2014,c,,2,6,yrwa,31,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,0614,3,1,heth,20,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,1,heth,36,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,1,heth,51,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,1,brcr,12,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,1,rcki,39,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,1,rcki,24,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,2,moch,31,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,2,yrwa,26,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,2,weta,32,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,2,resq,35,c,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,2,resq,26,c,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,3,gcki,19,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,3,gcki,16,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,3,heth,18,c,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,4,gcki,23,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,4,yrwa,39,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,4,yrwa,41,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,4,yrwa,21,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,5,resq,24,o,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,5,rbnu,46,s,,,,,
4b,wt_cont,4b3,2014,2,6/28/2014,c,,3,6,heth,15,o,,y,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,0639,4,1,rcki,20,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,1,deju,36,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,1,rcki,29,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,1,yrwa,22,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,2,yrwa,18,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,2,resq,30,c,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,2,yrwa,21,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,2,pisi,34,cf,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,3,graj,46,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,3,rcki,43,s,,y,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,3,moch,27,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,4,weta,31,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,4,rcki,37,s,,y,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,4,rcki,15,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,4,resq,23,c,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,5,rbnu,38,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,5,deju,24,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,5,deju,28,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,6,yrwa,20,s,,,,,
4b,wt_cont,4b4,2014,2,6/28/2014,c,,4,6,mgwa,21,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,0656,5,1,weta,34,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,1,deju,28,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,1,yrwa,21,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,1,pigr,35,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,1,yrwa,19,c,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,1,brcr,21,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,1,yrwa,31,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,2,deju,58,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,2,yrwa,41,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,2,deju,36,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,3,deju,28,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,3,pisi,36,cf,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,3,pisi,39,cf,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,4,resq,31,c,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,4,moch,20,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,5,gcki,17,c,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,5,resq,15,c,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,5,btlh,12,s,,y,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,6,pisi,18,s,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,6,pisi,20,c,,,,,
4b,wt_cont,4b5,2014,2,6/28/2014,c,,5,6,gcki,15,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,0716,6,1,pigr,31,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,1,pigr,24,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,1,yrwa,36,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,1,rcki,43,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,1,heth,41,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,1,yrwa,26,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,2,moch,31,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,2,attw,15,d,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,2,heth,56,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,3,yrwa,14,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,3,yrwa,12,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,3,rcki,46,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,3,heth,59,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,4,deju,48,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,4,yrwa,26,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,4,pisi,16,cf,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,4,moch,26,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,5,resq,37,c,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,5,pigr,48,s,,,,,
4b,wt_cont,4b6,2014,2,6/28/2014,c,,6,6,moch,15,c,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,0815,7,1,lisp,18,s,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,1,rcki,36,s,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,1,lisp,23,s,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,2,heth,46,s,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,3,lisp,27,s,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,3,pisi,18,fc,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,4,pigr,28,c,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,5,rcki,23,s,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,6,resq,52,c,,,,,
4b,wt_cont,4b7,2014,2,6/28/2014,c,,7,6,heth,69,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,0840,8,1,pisi,21,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,1,yrwa,19,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,1,rcki,25,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,1,yrwa,29,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,2,resq,19,c,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,3,yrwa,31,c,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,3,rcki,22,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,3,rcki,36,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,4,nobi,NA,NA,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,5,unwo,27,o,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,5,rbnu,49,s,,,,,
4b,wt_cont,4b8,2014,2,6/28/2014,c,,8,6,resq,26,c,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,0905,9,1,rcki,39,s,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,,9,1,rcki,26,s,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,,9,2,deju,13,s,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,,9,3,deju,28,s,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,,9,4,yrwa,36,s,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,,9,5,rcki,48,s,,,,,
4b,wt_cont,4b9,2014,2,6/28/2014,c,,9,6,yrwa,19,NA,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,0556,1,1,evgr,47,s,,n,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,1,moch,54,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,1,lisp,42,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,1,rcki,51,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,1,cofl,36,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,1,resq,18,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,1,evgr,19,cs,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,2,evgr,24,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,2,pisi,45,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,2,resq,38,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,2,weta,58,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,3,heth,91,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,4,lisp,74,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,4,deju,33,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,4,amro,45,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,4,pisi,61,c,,,,4,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,5,yrwa,37,s,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,5,resq,40,c,,,,,
4b,wt_cont,4b1,2014,3,6/30/2014,c,,1,6,cofl,36,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,0610,2,1,pisi,30,c,,,,2,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,1,resq,27,c,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,1,resq,38,c,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,1,yrwa,36,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,1,heth,81,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,1,chsp,90,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,2,rcki,53,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,2,deju,57,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,2,evgr,49,c,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,3,deju,46,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,3,yrwa,60,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,4,amro,58,c,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,4,pisi,75,c,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,5,evgr,73,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,5,pisi,34,c,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,6,rcki,115,s,,,,,
4b,wt_cont,4b2,2014,3,6/30/2014,c,,2,6,btlh,28,o,m,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,0622,3,1,gcki,23,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,1,chsp,51,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,1,weta,47,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,1,rcki,60,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,1,resq,39,c,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,2,recr,48,c,,,,2,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,2,attw,120,d,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,3,cofl,44,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,3,resq,49,c,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,3,deju,41,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,3,yrwa,52,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,3,rbnu,63,s,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,4,pisi,45,cs,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,5,moch,70,c,,,,,
4b,wt_cont,4b3,2014,3,6/30/2014,c,,3,6,moch,46,c,,,,,
4b,wt_cont,4b,2014,3,6/30/2014,c,,,88,cafi,NA,s,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,0644,4,1,graj,54,c,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,1,yrwa,29,s,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,1,pisi,37,c,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,1,chsp,33,s,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,1,resq,30,c,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,2,lisp,45,s,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,2,chsp,78,s,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,2,weta,44,s,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,3,resq,92,c,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,4,resq,16,v,,y,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,5,brcr,9,c,,y,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,6,brcr,14,c,,,,,
4b,wt_cont,4b4,2014,3,6/30/2014,c,,4,6,moch,26,c,,,,,
4b,wt_cont,4b,2014,3,6/30/2014,c,,,88,pigr,NA,s,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,0700,5,1,pisi,23,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,1,yrwa,22,s,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,1,yrwa,26,s,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,1,yrwa,47,s,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,1,pisi,38,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,1,rcki,61,s,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,2,weta,83,s,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,2,gcki,12,cs,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,3,evgr,95,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,3,graj,146,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,4,moch,37,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,4,moch,38,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,5,nobi,NA,NA,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,6,auwa,12,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,6,resq,19,c,,,,,
4b,wt_cont,4b5,2014,3,6/30/2014,c,,5,6,cofl,28,s,,,,,
4b,wt_cont,4b6,2014,3,6/30/2014,c,0724,6,1,rbnu,43,s,,,,,
4b,wt_cont,4b6,2014,3,6/30/2014,c,,6,1,heth,60,s,,,,,
4b,wt_cont,4b6,2014,3,6/30/2014,c,,6,1,rcki,29,s,,,,,
